,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
COD,0,,0,0,,,,55,0,,0,0,,0,0,,,0,0,,0,,,,6,0,,0,0,,,,,0,0,,0,1,,0,0,,0,,2,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
COG,0,,0,0,,,,52,0,,0,0,,0,0,,,0,0,,0,,,,0,0,,0,0,,,,,1,0,,0,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
COK,0,,0,0,,,,,0,,0,0,,0,1,,,0,0,,0,,,,,0,,0,0,,,,,0,20,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,,0,,,0,,0,,
CRI,1,,0,9,12,,0,1,8,6,0,0,12,0,2,,,,0,,9,,,,6,57,,0,1,,,,,14,0,,3,22,2,0,0,,0,,78,,,,,1,,,0,,708,1,0,0,0,0,,,,0,,5,0,,,234,340,0,,0
CIV,0,,0,1,,,,8,0,,0,0,,0,C,,,0,0,0,94,,,,39,41,,0,12,,,,,53,0,,4,3,2,0,0,,0,,51,,,34,,5,,,6,,,,0,0,0,0,,,,0,51,299,0,,,109,95,0,,
HRV,0,,C,"1,567",,,,30,16,,19,3,,0,1,,,0,61,34,18,,56,0,219,"1,404",,12,25,49,0,,,277,0,,221,204,20,0,0,,2,,871,,30,,,499,,,155,,,,7,15,0,0,,42,,25,130,51,0,,,475,400,0,,
CUB,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,19,,0,,,0,0,,,0,6,0,0,,0,,0,,,,,4,5,,0,,,,0,0,0,0,,,,0,,0,0,,,105,,0,,250
CYP,0,,C,"3,948",,13,,433,1,,0,24,,0,605,1,,0,,189,27,,25,0,"1,305","1,604",,"1,467",135,,39,,,313,0,,151,9,673,113,0,,0,,"1,345",,65,5,,142,,,182,,,,4,93,0,368,,26,0,38,22,234,0,,,"1,290","1,123",0,,7
CZE,0,,C,"1,775",,,0,654,205,0,0,60,,0,12,,,0,125,,217,,50,213,841,"2,421",,16,111,92,0,,,946,0,,208,556,16,1,6,,1,,"3,638",,,,,753,0,,176,,,,362,74,0,0,1,98,,150,330,148,0,,,"2,504","3,071",0,,
DNK,0,1,557,"3,602",4,20,218,"6,529","1,218",54,0,"2,016",132,0,"1,732",28,,3,171,56,,1,79,"4,941","10,036","20,844",73,136,"1,918",2,524,,,"9,465",302,56,"1,530","11,521","1,794",5,20,,2,1,"18,530",8,64,,,"6,161",11,C,"13,076",,4,,72,563,0,4,883,0,3,"1,294","16,152","5,228",1,0,,"24,921","33,978",1,,0
DJI,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
DMA,0,,0,0,,,0,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,0,0,,0,0,,0,,1,,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
DOM,0,,0,16,,,0,48,0,0,0,33,14,3,C,,,0,0,,74,,,C,19,105,,0,3,,,,,38,0,,23,22,6,0,0,,0,,300,,,,,921,,,0,,4,,0,0,0,0,,,,0,,4,0,0,,441,817,0,,
ECU,0,,0,24,,,,9,0,0,0,6,1,0,4,,0,29,0,11,69,,,C,15,25,,0,38,,,,,37,0,,111,41,2,0,0,,0,2,153,,,,29,167,,,0,,36,3,0,0,0,0,,,,73,,9,0,1,,396,552,3,,17
EGY,0,,24,14,,,0,39,0,0,0,97,0,0,22,,,0,3,0,93,,,,146,94,,120,246,,,,,278,8,,95,88,24,0,10,411,0,16,"1,698",5,,1,,274,3,,38,,,,0,3,0,0,,,31,0,19,34,0,,,"7,861","6,686",0,,
SLV,0,,C,21,26,,1,1,3,,0,22,14,1,2,,,5,0,,113,,,C,19,129,,0,0,,,,,90,0,,32,67,6,0,0,,0,,302,,,,1,124,,,0,,25,1,0,0,0,0,,,,0,,5,1,,,133,935,0,,
GNQ,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,6,0,,,,,0,,0,0,,0,,,0,0,,,0,,0,0,,0,,0,,,,,1,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
ERI,0,,0,0,,,,,0,,0,0,,0,0,,,0,0,,0,,,,,0,,0,0,,,,,0,0,,,0,,0,0,,0,,0,1,,,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
EST,0,,C,184,,,,82,0,,0,2,,0,C,,,0,48,12,118,,,584,26,416,,0,25,0,0,,,115,0,,0,0,,0,0,,55,,601,,,,,55,,,86,,,,18,0,0,5,,,,9,"1,095",8,0,,,48,98,0,,
ETH,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,0,,,,,1,,0,0,,,,,0,0,,0,0,,0,0,,0,,0,,,1,,0,,,0,,,,0,0,0,0,,,,0,,0,0,,,0,,0,,
FLK,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,1,,,,,9,,0,0,,,,,0,0,,0,0,,0,0,,0,,0,,,,,1,,,0,,,,0,0,0,0,,,,0,,2,0,,,0,2,0,,
FRO,0,,0,0,,,,0,0,,0,0,,0,0,,,0,0,,241,,,,,42,,0,0,,0,,,0,0,,0,0,,0,0,,0,,13,,,,,-4,,,0,,,,0,0,0,0,,,,0,0,0,0,,,0,,0,,
FJI,0,,0,1,,,,,0,,0,0,7,0,0,,,0,0,,0,,,,,9,,0,5,,,,,3,0,,1,0,2,0,1,,0,,7,,,,,5,,,0,,,5,0,0,0,0,,,,0,,1,0,,,12,7,0,,
FIN,27,2,634,"3,312",10,19,7,"5,007",564,2,2,"2,376",58,1,930,30,4,38,132,26,"4,743",2,294,,"22,846","28,460",,100,"1,488",3,409,,,"5,647",246,46,"5,096","7,859","1,076",38,71,0,15,5,"17,423",7,179,2,1,"9,044",2,C,"5,237",,,15,25,244,0,25,807,156,5,"3,018","20,185","5,487",0,262,,"24,390","59,934",24,,
