,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
MNE,0,,0,30,,,0,2,0,,0,8,,,0,0,,0,,,0,0,10,0,,0,3,25,,,2,3,,,0,16,0,,5,0,,0,0,,0,,2,106,,,0,,,5,,,,0,,C,0,,2,,3,2,,C,0,10,,0,,23,0,,0
MSR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
MAR,0,,C,53,,12,0,13,110,,0,0,34,,0,6,,0,,,1,0,19,0,,0,"1,658",384,,,33,,,,0,124,0,,65,10,997,0,0,15,0,,0,102,,,53,,,23,,6,,0,,0,111,,0,C,,1,,475,12,152,,0,,167,426,,0
MOZ,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,12,,0,,0,,,0,,,0,0,0,0,,,0,,0,0,,,,0,1,,,10,,,0,,16,,0,,0,128,,0,,,0,15,0,0,0,,0,,19,0,,0
MMR,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,C,,0,,0,0,0,,0,,0,0,,0
NAM,0,,C,3,,1,0,,0,,0,0,,,0,0,,0,,,0,,15,0,,C,8,72,,,0,,,,0,-1,0,,2,4,,0,0,,,,0,72,1,,0,,,19,,3,,0,,0,0,,0,,,0,356,0,0,3,,0,,82,167,0,0
NRU,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,0,0,,0
NPL,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,0,,0,,0,,,0,,,0,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,,,,0,,0,0,,0,,,0,,0,0,0,,0,,53,0,,0
NLD,2,9,"14,277","23,250",29,372,520,"100,252","12,947",44,195,196,"11,129",437,10,"11,681",491,3,13,387,797,"2,022","10,899",9,452,"15,594","281,214","237,273",50,"1,854","3,536",133,425,13,"1,416","71,012",244,863,"66,817","98,626","5,592","1,332","1,999",78,248,106,188,"140,527",96,"1,077",33,36,0,,C,"23,196",1,45,101,667,"10,512",148,"4,142",C,"1,830","1,021",102,"38,519","8,915","72,655",347,32,8,"180,714","241,757",129,0
NZL,0,,"7,090",85,10,25,1,101,"1,819",,0,0,864,2,0,597,90,9,0,0,0,0,20,0,,0,860,801,,0,190,0,0,,0,797,1,59,42,"6,048",226,0,66,,5,1,0,"1,409",6,,11,,0,325,,499,,0,0,0,15,,12,"2,196",68,0,0,C,91,"1,108",5,0,,"4,518","18,460",0,0
NIC,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,9,0,,0,,0,,,0,,,,0,6,0,,11,0,,0,0,,,,0,21,,,0,,,0,,,,7,,0,0,,0,,,0,,0,0,1,,0,,0,0,,0
