,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NAM,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
IOQ,,0,,0,0,0,,,0,,4,,,0,,52,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,4,,0,,,,,0,0,,,0,C,0,0,,0,0,,,0,,0,,,0
BRN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,0,,,0,1,0,0,,0,0,0,,0,,1,,,0
BGR,,0,,3,491,0,8,,0,171,6,,1,,10,13,0,10,,9,4,0,0,13,130,13,,0,12,75,368,"2,644",,9,15,0,11,0,0,0,129,,"1,009",71,156,6,0,,39,0,67,458,5,0,C,0,,0,,92,,8,,,,,23,12,61,13,3,C,141,96,0,233,0,115,,0,,105,345,,0
BFA,,0,,C,0,0,,,0,,0,,,0,,0,0,0,,0,0,0,0,0,0,0,,0,0,,49,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,10,0,0,C,0,,0,,1,,0,,,,,0,0,,,0,,0,0,,0,0,0,,0,,3,,,0
BDI,,0,,0,0,0,,,0,1,0,,,0,,0,0,0,,0,0,0,0,0,0,29,,0,0,,22,109,,,3,0,4,,0,,72,,30,0,0,0,0,,1,0,0,474,0,0,C,107,,0,,0,,0,,,,,0,0,,,0,C,0,0,,C,1,0,,0,,4,,,0
KHM,,0,,C,0,0,,,0,,0,,,0,,0,0,5,,1,0,0,0,0,0,C,,0,0,,97,0,,,8,0,0,,0,,0,,0,1,0,0,90,,,0,0,538,0,71,0,0,,0,,49,,1,,,,,0,0,,,0,C,0,0,,0,0,2,0,0,,8,,,0
CMR,,0,,C,6,0,,,0,0,2,,,0,,6,0,0,,8,0,0,0,0,0,33,,0,0,4,108,52,,,1,0,0,,0,,32,,24,1,0,0,0,,0,0,0,252,0,0,C,6,,0,,25,,0,,,,,C,0,,C,0,C,0,0,,0,0,24,,0,,40,,,0
CAN,35,72,11,"36,668","5,686",27,171,0,0,"11,956","40,133",11,110,35,,"33,698",676,"24,699","1,378","5,536",513,30,56,947,116,"7,440",,6,157,"5,696","30,582","100,884",43,50,"4,472",4,44,26,53,99,"62,542","1,002","5,038","91,850",733,"1,965","12,714",24,85,12,30,"87,883",0,"1,615","10,111",72,81,15,16,"33,729","2,305","39,609",,,61,21,325,"1,208",10,297,282,"22,615",617,455,356,"3,711","11,511","44,427",258,14,,"63,399","1,195,724",575,5
CPV,,0,,0,0,0,,,0,,0,,0,0,,3,0,0,,0,0,0,0,0,0,0,,0,0,,,0,,,0,0,0,,0,,0,,0,0,0,0,0,,,0,0,0,0,0,0,0,,0,,0,,0,,,,,0,19,,,0,,0,0,,0,0,0,,0,,0,,,0
CYM,,0,4,"45,319","2,981","9,726","3,643",,0,"4,625","41,437",,"5,387",26,"48,265",,"1,038","866,637","11,310","90,107",360,20,"12,661",718,160,"16,358",,0,59,C,"22,784","40,536",25,82,"17,395",0,112,2,43,172,"127,492","1,173","5,156","990,157","3,956",238,"28,143","1,227",52,68,27,"246,121",0,"4,935","3,947","3,855",3,3,,"70,675","3,163","36,491",2,,270,"1,011",127,989,14,"1,626","35,798","62,945",104,108,"1,266","5,829","29,918","80,804","2,102",217,,"77,695","2,472,992",92,0
