,ALB,ARG,ABW,AUS,AUT,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
AFG,,0,,0,0,,,0,,0,,1,0,,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,2,0,,0,0,,0,0,,,0,0,52,0,0,0,0,,,0,,1,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
ALB,,0,,0,4,,,0,1,0,,,22,2,1,0,0,,0,0,,0,0,0,4,,0,,4,42,0,4,0,0,0,,0,,13,0,,55,0,,0,0,,,0,0,112,0,0,0,0,,,0,,0,,,,0,,21,0,C,,0,,0,0,,C,0,3,,0,,6,303,1,,0
DZA,,0,,0,0,,,0,,0,,0,0,,0,0,24,,0,0,,0,1,0,1,,0,,254,0,0,,75,0,0,,0,,0,0,,0,0,132,0,0,,,0,0,0,0,0,0,31,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,15,,0,,29,0,,,0
ASM,,0,,0,0,,,0,,0,,,0,,16,1,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,,,,0
AND,,0,,0,0,,,0,,0,,3,0,,2,3,0,,0,0,,0,0,0,0,,0,,3,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,4,0,0,C,5,,,247,,3,,,0,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
AGO,,0,,C,14,,,0,1,7,,0,0,,2,0,0,,24,0,,0,-3,0,85,,0,C,7,121,0,,4,0,0,,0,,136,2,,28,13,30,0,2,,1,0,0,554,0,0,0,73,,,223,,3,,,,0,,0,489,C,1,50,C,0,0,,C,1,24,,0,,-51,468,,,0
AIA,,0,,0,0,,,0,,0,,20,0,,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,41,15,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,2,"2,135",,,0
ATG,,0,,0,0,,,0,3,0,,2,0,1,0,0,0,,0,0,,0,0,0,0,,0,0,8,0,0,,0,0,0,,0,,1,0,,1,0,,0,0,,,0,0,15,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,4,149,,,0
ARG,,,1,333,357,6,,0,51,922,,394,0,"1,688","6,025","1,295",105,3,256,1,1,15,19,3,"1,444",,10,423,"2,919","3,175",0,6,51,0,32,0,0,1,"6,492",9,2,"4,302",533,115,0,30,,18,10,0,"20,313",0,3,C,0,15,,"2,782",,52,,,9,8,C,51,22,C,14,168,C,0,3,3,385,63,838,,2,,"3,595","44,510",477,,0
ARM,,0,,C,2,,,0,0,2,,,0,0,1,0,0,,8,0,,0,-2,0,31,,0,4,32,101,0,,1,0,0,,0,,48,0,1,31,1,,0,11,,1,21,0,450,0,0,0,0,,0,56,,0,,,,0,,C,0,,,0,,0,0,,C,1,31,,0,,22,284,,,0
ABW,,0,,0,6,,,0,,0,,,0,45,25,0,0,,0,0,,441,0,0,0,,0,,,1,0,,0,0,0,,0,,0,0,,7,35,,0,2,,,0,0,10,0,0,0,0,,,0,,0,,,16,0,,0,0,,C,0,,0,0,,C,0,0,,0,,63,189,,,0
AUS,,0,14,,"2,980",145,61,0,"5,554","10,919",71,13,14,"26,434","16,794",180,"35,833","1,591","9,205",196,20,98,57,40,"2,620",,62,"3,069","36,300","48,508",9,97,"1,959",2,41,1,2,399,"44,679",153,416,"7,254","146,536","1,682","2,453","11,778",2,50,39,16,"50,883",0,"3,700","2,266",126,2,12,"31,512","25,080","27,820",2,,23,18,268,19,481,1,26,"1,227","30,450",106,387,987,"2,893","5,719","27,202",788,1,,"77,508","354,874",322,,2
AUT,17,0,1,997,,16,3,0,"13,006",487,,40,209,"1,706","1,140",119,139,12,300,48,,10,377,"4,498","2,441",,151,"4,166","47,182","85,233",0,547,222,0,931,13,0,,"9,202",1,206,"9,898","10,839",477,354,428,0,107,10,27,"23,665",13,1,C,13,4,0,"44,905",,"5,715",,,12,0,C,"1,273",849,800,366,116,897,"2,279","1,112",40,"3,774",545,"16,580",3,2,,"7,924","32,061",1,,0
AZE,9,0,,C,40,18,,0,2,61,,0,0,76,82,0,0,,33,0,,0,-1,1,208,,0,28,8,536,0,,11,0,0,,0,,489,0,,121,72,5,227,7,,7,0,0,"1,132",0,0,C,2,,0,457,,41,,,,0,,C,0,,30,64,C,0,0,,C,5,126,,0,,147,"1,629",0,,0
BHS,C,0,,C,28,,,0,60,38,,"6,800",0,416,122,545,21,,0,0,0,25,3,0,203,13,1,C,190,54,0,,132,0,3,,0,,207,1,,68,"1,727",263,0,34,1,0,0,0,"2,406",0,0,C,0,,,53,,4,,,6,32,C,7,0,,16,28,C,0,0,,C,41,"2,950",,0,,"1,874","8,099",479,,0
BHR,C,0,,C,28,,,0,1,18,,0,0,45,0,0,265,,10,0,,35,4,0,69,12,1,5,349,215,0,,99,0,6,,0,0,150,21,1,103,32,11,0,4,"3,816",0,226,0,"1,052",0,89,C,0,,,35,,56,0,,,0,C,C,9,3,45,"2,254",34,0,0,0,C,0,131,11,6,,245,"1,108",,,6
BGD,,0,,163,2,,,0,,7,,,0,0,65,0,537,,79,0,,0,0,0,38,,0,17,2,22,0,,6,0,0,,0,5,82,0,,0,3,,0,0,,,0,0,654,0,2,C,88,,,4,,251,,,,0,,0,0,,,0,C,0,0,,C,13,7,,0,,448,924,,,0
BRB,,0,7,C,1,,,0,2,92,,0,0,25,36,1,0,,0,0,,29,0,0,0,,0,,33,1,0,,0,0,0,,0,,"2,017",0,,8,6,,0,0,,0,0,0,46,0,0,C,0,,,6,,0,,,4,1,,0,0,,,0,,0,0,,C,0,46,,0,,168,"2,352",1,,0
BLR,,0,,C,12,,,,,0,,,0,22,33,0,0,,3,0,,0,1,0,53,,2,2,1,54,0,,26,0,8,0,0,,55,0,,29,11,,0,0,,2,1,1,777,0,0,0,0,,,23,,0,,,,0,,C,0,,522,0,,2,1,,C,1,27,,0,,9,"1,012",,,0
BEL,C,0,2,C,"7,036",28,82,0,,"2,212",10,681,61,"6,482","1,288",108,714,25,"1,373",0,,5,69,"3,108","2,375",8,137,"3,297","112,927","81,091",0,"1,514","1,002",0,629,2,4,0,"37,297",9,111,"12,974","32,580",871,125,753,0,30,38,25,"93,123",2,23,303,432,13,,"55,126",,"9,253",1,,1,6,C,30,"2,231",1,2,485,C,297,526,"1,507","5,024","1,384","9,669",13,1,,"28,412","72,482",2,,0
BLZ,,0,,0,7,,,0,0,0,,10,0,10,0,20,0,,0,0,2,2,0,0,12,,4,0,0,2,0,,0,0,0,,0,,19,0,,2,0,,0,0,,,0,0,72,0,0,C,0,,,8,,0,,,0,0,,C,0,,,0,,0,0,,C,0,4,,0,,1,45,,,0
BEN,,0,,0,0,,,0,,109,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,2,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,1,,0,,11,0,,,0
BMU,,0,0,C,227,115,,0,894,,,984,0,"9,180","8,229",88,"184,928","1,050","1,978",0,0,46,49,87,"3,209",,6,811,"2,281","4,332",2,7,"3,025",0,17,0,4,10,"11,833",167,25,599,"26,453",689,53,765,1,8,21,3,"28,106",0,424,758,43,7,,"11,950",,"7,120",6,,11,397,1,14,186,1,314,23,C,4,3,"9,525",299,"2,385","6,594",249,1,,"12,177","263,129",87,,0
BTN,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,0
BOL,,0,,0,8,,,0,,0,,34,0,10,35,5,0,,1,0,,34,0,0,19,,0,0,0,48,0,,0,0,0,,0,,29,0,,7,3,,0,0,,,0,0,389,0,0,0,0,,,41,,0,,,,4,,0,0,,,0,,0,0,,C,2,12,,0,,7,155,,,0
BES,,0,,0,0,,,0,,0,,,0,0,0,65,0,,0,0,,16,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,435,,0,,0,0,,,0
BIH,,0,,0,10,,,0,,0,,19,0,2,0,0,0,,0,0,,0,0,0,4,,0,0,0,11,0,,0,0,0,0,0,,7,0,,0,0,,0,0,12,,0,0,183,0,0,0,1,,,0,,0,,,,0,,0,0,,,0,,0,16,,C,0,17,,0,,0,10,,,0
BWA,,0,,C,0,,,0,0,0,,,0,0,0,0,0,,0,0,,0,0,0,5,,0,2,7,26,0,,0,0,0,,0,,36,0,,0,0,11,0,0,,,0,0,58,0,0,0,53,,,1,,7,,,,0,,0,0,,,0,,0,0,21,C,7,0,,0,,4,45,,,0
BRA,C,488,5,C,"1,106","1,534",16,0,538,"1,247",,,79,"14,621","34,465","2,197",254,6,"1,889",10,8,14,8,20,"3,114",,16,606,"7,657","6,072",0,6,"1,594",0,12,0,54,0,"15,940",26,76,"1,600","14,475",266,100,"11,633",,16,16,4,"53,997",0,10,13,1,"4,091",,"12,740",44,"9,641",1,,281,244,156,47,872,1,77,"1,832",C,1,54,912,"5,579","3,032","4,180",191,8,,"25,306","182,232",839,1,6
IOQ,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,C,0,,,17,,0,,,,0,,0,0,,,0,C,0,0,,C,2,,,0,,0,0,,,0
BRN,,0,,0,0,,,0,,0,,,0,0,0,0,0,,0,0,,0,0,0,0,,0,,49,0,0,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,18,0,0,,,0,,0,,,,0,,0,0,,,0,1,0,0,,C,0,0,,0,,2,0,,,0
BGR,1,0,0,C,507,7,,0,112,0,,0,,9,17,0,0,,7,0,,0,0,95,52,,17,C,955,"1,262",0,4,35,0,61,0,0,0,116,0,2,"1,102",129,12,0,1,,62,0,72,560,1,0,C,0,,0,106,,2,,,,0,,27,38,126,15,5,C,119,99,,164,0,68,,0,,129,201,,,0
