,ALB,ARG,ABW,AUS,AUT,BHS,BHR,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,SLV,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,PSE
ABW,,0,,0,0,0,,,0,,0,,,0,54,19,0,0,,0,0,,254,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,10,0,,0,2,,,0,0,15,0,0,0,0,,,0,,0,,,13,,0,0,,C,0,,0,0,,C,0,0,,0,,0,223,,0
AUS,,0,16,,"2,948",135,153,70,0,"4,686","11,402",59,11,4,"25,525","27,096",174,"39,887","1,818","9,319",206,15,37,64,26,"2,100",,0,65,"3,151","34,286","36,761",9,115,"1,354",2,34,1,2,128,"50,119",629,408,"6,788","146,000","1,332","2,192","13,018",,24,21,4,"46,391",0,"3,282","2,303",63,,22,"29,191","24,904","25,526",,,28,234,16,508,0,90,"1,473","26,492",300,357,986,"2,083","5,545","24,955",727,0,,"64,851","332,553",332,1
AUT,16,0,1,896,,54,17,4,0,"11,981",276,13,63,223,"1,874","2,664",203,116,8,218,55,,9,308,"3,283","1,690",,0,209,"3,775","41,030","86,015",0,417,70,,907,17,0,0,"9,853",1,159,"9,946","10,744",315,174,337,0,53,5,29,"21,973",13,11,C,14,1,0,"43,652",,"4,659",,,9,C,936,"1,045",650,124,95,C,"2,272","1,002",16,"3,256",845,"14,227",43,0,,"6,433","24,523",1,2
AZE,9,0,,C,41,0,19,,0,3,57,,,0,88,1,0,0,,27,0,,0,C,1,202,,0,0,22,8,635,,,10,,3,,0,,464,0,,143,51,4,218,4,,5,0,0,974,0,0,C,2,,0,397,,38,,,,,5,0,,40,79,C,0,0,,C,5,163,,0,,38,"1,480",,0
BHS,2,0,,0,16,,,,0,7,154,,"7,060",0,489,107,526,19,,0,0,,17,C,0,261,,0,0,7,95,49,0,,109,,0,,0,,69,10,,61,"1,750",,0,64,1,0,0,0,"2,295",0,0,C,0,,,10,,4,,,8,C,C,0,C,1,47,C,0,0,1,C,24,"2,535",,0,,"1,110","7,516",1,0
BHR,6,0,,C,15,0,,,0,2,6,,0,0,53,48,0,28,,27,0,,0,7,0,105,13,0,0,14,163,192,,1,98,,6,,0,0,227,9,1,156,7,3,1,3,"4,462",1,136,0,"1,137",0,74,C,0,,,87,,56,0,,,C,C,9,4,28,"3,990",27,0,0,,C,3,132,,1,,95,"1,578",,4
BGD,,0,,188,1,0,,,0,,0,,0,0,,23,0,672,,127,0,,0,0,0,35,,0,0,1,1,22,,,4,,0,,1,4,93,0,,0,12,1,0,0,,,0,0,560,0,2,C,112,,,9,,217,,,,,0,0,,3,0,C,0,0,,C,33,9,,0,,162,820,,0
BRB,,0,8,C,0,526,,,0,,132,,0,0,22,23,1,0,,0,0,,10,0,0,7,,1,0,,67,1,,,0,,0,,0,,"2,019",0,,2,6,,0,1,,,0,0,5,0,0,C,7,,,0,,0,,,2,,0,0,,,0,,0,0,,C,0,41,6,0,,74,"1,700",0,0
BLR,,0,,C,22,0,,,,,0,,,0,26,4,0,0,,3,0,,0,8,1,46,,0,1,2,2,112,,,20,,8,0,0,,40,0,,27,3,1,0,0,,2,0,0,624,0,0,0,0,,,39,,0,,,,,C,0,,212,0,,0,0,,C,1,28,,0,,12,393,,0
BEL,2,0,2,"2,061","6,123",101,30,77,0,,"1,028",,361,68,"6,269","4,153",81,682,24,"1,129",0,,7,73,"2,174","1,942",4,0,91,"3,025","91,290","81,293",41,"1,162",63,0,562,7,3,24,"34,478",634,33,"15,555","29,984",569,59,"1,056",0,23,36,70,"86,727",1,3,358,44,17,1,"56,844",,"7,428",1,,1,5,33,"3,506",1,2,638,C,473,529,"1,476","4,941",765,"7,128",10,1,,"24,715","52,303",0,0
BLZ,,0,,0,9,0,,,0,1,0,,17,0,12,18,6,0,,0,0,2,0,C,0,14,,0,5,0,0,9,,,0,,0,,0,,17,0,,2,0,,0,0,,,0,0,73,0,0,C,0,,,7,,0,,,1,,C,0,,4,0,,0,0,,C,0,10,,0,,1,54,,0
BEN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,301,0,0,0,0,,,0,,0,,,,,0,0,,,0,C,0,0,,C,0,1,,0,,-1,0,,0
BMU,,0,2,"4,634",208,11,121,,0,667,,,961,1,"9,718","9,662",82,"134,645",948,"5,459",1,1,9,68,78,"3,350",,0,4,537,"2,065","2,994",23,2,"3,323",,6,0,6,,"13,176",329,28,601,"25,210",796,71,632,1,6,21,1,"24,679",0,374,780,55,4,,"11,412",,"5,798",0,,9,1,7,168,0,403,22,"6,777",6,2,"7,491",281,"1,641","6,917",267,0,,"9,409","235,978",74,0
BTN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,0
BOL,,0,,0,9,0,,,0,,0,,1,0,11,0,7,0,,1,0,,1,0,0,21,,0,0,0,15,57,,,0,,0,,0,,27,0,,12,0,,0,0,,,0,0,281,0,0,0,0,,0,32,,0,,,,,C,0,,C,0,,0,0,,C,1,23,,0,,15,138,,0
BES,,0,,0,0,0,,,0,,0,,,0,,0,63,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,0,1,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,321,,0,,0,0,,0
BIH,,0,,0,13,0,,,0,,0,,,0,2,0,0,0,,0,0,,0,0,0,3,,0,0,0,,8,,,0,,0,0,0,,6,0,,0,0,,0,0,14,,0,0,172,0,0,0,4,,,0,,0,,,,,0,0,,C,0,,0,12,,C,0,0,,0,,0,7,,0
BWA,,0,,C,0,0,,,0,,0,,,0,,8,0,0,,0,0,,0,0,0,5,,0,0,1,0,0,,,1,,0,,0,,38,0,,0,0,44,0,0,,,0,0,90,0,0,0,58,,,1,,7,,,,,0,0,,,0,,0,0,107,C,8,0,,0,,44,39,,0
BRA,,471,4,"3,695",903,"10,920","1,618",16,0,356,"1,616",,,31,"15,068","34,741","2,194",274,9,"1,638",1,7,100,10,9,"2,860",,0,5,528,"8,160","5,155",0,6,"1,127",,10,0,52,0,"14,827",225,152,"1,290","12,906",405,100,"10,723",,11,17,3,"46,660",0,6,12,2,"3,100",,"12,864",40,"9,186",,,242,262,C,743,1,75,"3,772",C,2,41,544,C,"2,567","4,600",12,16,,"26,443","168,692",531,6
IOQ,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,1,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,C,0,,,10,,7,,,,,0,0,,,0,C,0,0,,C,2,,,0,,0,0,,0
BRN,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,0,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,18,0,0,,,0,,0,,,,,0,0,,,0,1,0,0,,C,0,0,,0,,0,0,,0
BGR,,0,0,C,463,0,7,,0,99,7,,1,,10,109,0,0,,7,0,,0,C,75,21,,0,14,6,836,"1,384",,1,23,,56,0,0,0,71,0,,886,47,46,0,0,,46,0,74,306,1,0,C,0,,0,53,,0,,,,,19,12,65,11,0,C,98,84,,132,1,50,,0,,44,159,,0
BFA,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,0,34,0,,,2,,0,,0,,0,0,,0,0,,0,0,,,0,0,1,0,0,C,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,1,,0,,6,0,,0
BDI,5,0,,0,6,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,7,,0,0,2,10,44,,,2,,6,,0,,5,0,,20,0,,0,0,,,0,1,168,0,0,C,23,,,5,,0,,,,,0,0,,,0,,0,0,,C,5,0,,0,,2,0,,0
KHM,,0,,0,0,0,,,0,,0,,,0,,8,0,0,,0,0,,0,0,0,5,,0,0,,,0,,,9,,0,,0,0,0,0,,0,1,,0,85,,,0,0,529,0,11,0,0,,,35,,1,,,,,0,0,,,0,C,0,0,,C,0,6,3,0,,5,0,,0
CMR,,0,,0,3,0,,,0,0,13,,,0,,22,1,0,,3,0,,0,0,0,24,,0,0,3,82,46,,,4,,0,,0,,29,0,,19,1,0,0,0,,0,0,0,275,0,0,C,0,,,57,,3,,,,,C,0,,0,0,C,0,0,,C,0,17,,0,,22,205,,0
CAN,8,1,25,"24,574","3,768","8,889",161,105,0,"7,644","46,465",105,121,45,,"25,898",687,"18,619",429,"5,126",592,15,108,282,96,"4,849",9,0,124,"6,031","31,076","76,231",11,47,"2,425",5,34,8,1,0,"58,461",391,575,"4,518","67,610",715,"2,794","8,304",0,77,15,3,"73,356",0,211,"8,498",180,45,12,"28,110",C,"31,617",,,88,28,180,979,9,257,287,"15,618",358,577,"1,525","2,260","7,809","35,341",265,10,,"55,360","981,173",303,7
CPV,,0,,0,0,0,,,0,,0,,0,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,54,,,0,,0,0,,C,0,0,,0,,0,0,,0
CYM,,0,4,"40,564","2,039","9,112","3,432",,0,"1,740","16,775",62,"4,147",18,"33,899",,964,"477,219","7,681","42,927",202,14,"22,932",454,101,"8,474",,1,46,"15,265","13,202","21,442",32,60,"15,140",,61,2,23,245,"76,149","1,602","1,001","2,638","876,473","1,939",76,"16,281",923,48,113,4,"129,226",0,"1,683","3,187","3,235",15,1,"47,327","2,017","14,846",3,,178,328,82,"2,172",1,466,"11,544","45,600",66,60,99,"3,988","14,455","62,784","1,761",208,,"71,958","1,742,177",60,2
CAF,,0,,0,0,0,,,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,,,0,,,0,,0,,0,,0,2,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,,0,0,,,0,,0,0,,C,0,0,,0,,6,0,,0
