,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
THA,0,,"1,288",212,,,0,51,224,1,0,"1,658",,8,"1,647",26,0,0,3,14,0,860,0,,293,817,"1,126",2,1,496,0,1,42,2,"3,001",11,3,250,"2,491",103,0,434,3,0,0,0,"12,688",484,,"1,036",,,"2,880",0,831,,0,0,0,0,,0,"8,015",,3,5,C,369,397,,0,,"7,010","23,034",0,0
TLS,0,,C,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,C,,0,,0,0,0,0,0,,0,0,0,0
TGO,0,,0,0,,,0,0,0,,0,,,0,5,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,6,0,0,,,,0,22,,,32,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,8,0,0
TKL,0,,0,0,,,0,0,6,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,187,0,,,0,,0,0,,,,0,23,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,,0,0,,0,0,0,0
TON,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,0,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
TTO,0,,C,24,,,18,0,74,0,0,30,91,3,C,,0,0,2,0,,68,0,,0,,82,,,32,0,,,0,65,0,,3,180,,0,0,,,,0,124,,,,,,23,0,8,,14,,0,0,,0,,,0,,0,0,0,0,0,,147,"1,175",0,0
TUN,0,,0,219,,91,0,11,43,,0,4,,0,2,,0,0,0,8,,41,18,,0,153,612,,0,16,1,,,0,211,0,,42,"1,210",106,0,0,196,1,0,1,109,,4,29,,,115,0,93,,0,,0,0,,4,C,,0,,C,0,27,7,0,,125,560,0,0
TUR,0,0,488,985,,"7,353",0,151,431,1,27,"1,089",69,11,276,1,0,15,2,0,40,"1,299",8,57,0,"3,777","3,573",,524,605,56,0,5,5,"3,875",0,5,768,"1,953","4,019",0,336,678,,15,7,"15,120",5,"8,590",21,1,,"3,295",0,"1,710",,0,,C,11,,22,C,9,20,54,C,"1,016",657,0,,,"24,578","40,088",2,0
TKM,0,,0,0,,,0,0,10,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,16,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,1,0,0,0,,0,0,0,0
TCA,0,,0,0,,,0,0,0,135,0,,,0,0,,0,0,,0,,0,0,,0,,766,,,0,0,,,0,0,0,,0,0,,0,0,,,,0,1,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,1,0,0
TUV,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,0,0,,,0,0,0,,,0,,0,0,,,,0,0,,,,,,0,0,,,0,,0,0,,0,,,0,,0,0,0,0,0,,0,0,0,0
UGA,0,,0,0,,,0,0,0,,0,,,0,0,,0,0,,0,,0,0,,0,,0,,,2,0,,,0,0,0,,,0,5,0,0,,,,0,1,0,,31,,,0,0,5,,0,,0,0,,0,,,0,6,0,9,0,0,0,,7,0,0,0
UKR,0,,0,136,,1,0,1,3,,6,144,91,8,C,,0,0,,28,2,286,0,5,0,454,239,,585,350,1,4,,0,47,0,,111,205,5,5,2,,15,1,11,"1,984",,,1,,,750,0,0,,0,0,46,0,,34,C,2,1,,C,16,25,0,0,,"2,054","1,789",0,0
