,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
TKM,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,1,0,,0,,3,0,,
TCA,0,,0,0,,,0,0,0,,174,0,,,0,0,,0,,,0,,0,,,0,6,0,,,0,0,,0,0,0,0,,2,3,,0,0,,,,,0,9,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,70,,0,,4,121,,
TUV,0,,0,0,,,0,,0,,0,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,0,,,,,0,0,,0,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
UGA,0,,0,0,,,0,,35,,0,0,,,0,8,,0,,,0,,0,,,0,,0,,,4,0,,0,0,11,0,,,0,,0,0,,,,,0,12,,,64,,0,1,,5,,0,,0,0,,0,C,,0,4,-,0,0,0,0,,47,54,,
UKR,0,1,C,172,,1,0,2,178,,2,10,230,52,0,31,,0,,,403,0,373,,12,0,154,437,2,267,331,0,1,0,0,32,0,,195,165,19,0,20,,28,1,,3,"3,986",,,1,,0,694,,0,,0,0,67,0,,68,C,6,0,,C,180,86,,16,,"1,259","5,740",0,
ARE,0,0,65,202,,"2,693",0,171,"5,699",,1,3,323,4,1,732,26,0,,7,15,0,216,124,3,69,"1,152","1,756",6,13,743,0,0,1,2,"2,086",0,,203,813,"1,438",0,93,"3,298",,383,,2,"3,804",787,,155,,0,982,0,198,48,9,17,C,37,,27,C,,10,,C,7,"5,215","1,688",0,,"4,397",0,0,
GBR,22,24,"58,223","19,914",190,"1,516",313,"34,479","62,796",18,165,"1,293","69,977",401,"2,847","69,285","1,036",118,131,212,"8,497",654,"26,207",134,135,"20,758","230,967","222,051","4,172","32,936","36,878",140,"1,098",8,351,"364,428","17,741","4,178","67,333","215,929","43,548","3,792","8,455","1,856",199,700,,60,"226,163","1,689","2,254",426,110,5,"127,370","1,994","104,105",25,141,342,C,"12,096",284,"6,379","43,871","1,819",640,"79,375","26,958","46,955","85,057",466,130,46,,"1,128,508",164,
USA,"18,718",368,"233,137","25,581","5,381","6,458","9,635","40,352","202,338",239,"9,436",456,"528,465","18,408","51,340","78,344","1,141","11,249",401,"3,457",674,"1,929","80,739","1,537",191,"25,233","201,672","219,577",563,"1,928","38,096","1,260","1,934",326,422,"583,394","2,236","47,522","71,851","1,183,093","52,835","34,742","46,413","2,290",635,"2,518",,113,"611,911","13,581",915,"1,891","17,923",16,"351,194","8,772","220,429",8,"4,496","2,439",457,"9,200",251,"2,079","199,379","1,075","1,165","25,469","23,684","107,973","179,246","3,786",196,,"848,455",,"1,380","3,545"
URY,3,0,C,50,23,1,0,0,45,,52,0,88,,3,13,,0,8,278,0,2,222,,,0,24,449,,0,155,0,,0,0,71,0,,57,998,11,0,0,,0,0,,0,"3,848",,,,,0,398,,0,,0,,0,0,,0,C,,0,,C,0,45,,0,,110,"3,336",,55
PUQ,0,,0,0,,,0,,48,,2,0,,,0,0,,0,,,0,,0,,,0,,0,,,0,0,,0,0,0,0,,,0,,0,0,,,,,0,10,,,,,0,0,,1,,0,,0,0,,0,,,0,,-,0,0,,0,,0,0,,
