,ARG,ABW,AUS,AUT,BHS,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
FRA,30,0,"4,850","13,812",153,20,"54,395","4,593",46,20,"11,925",254,54,"6,881",172,12,0,426,"1,302","7,134",70,73,"13,181",,"122,169","3,260","9,955",34,79,,"59,488",272,374,"73,902","90,335","10,344",439,570,188,231,"119,172",121,235,15,,"83,302",47,199,"10,793",6,20,29,137,"12,226",0,27,"8,372",63,215,"51,692","11,480","44,106",14,14,,"119,125","183,425",6,,3
TFQ,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,,,0,,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,,0,,,0,,0,,0
PYF,0,0,,3,,,0,0,,,0,,0,C,,,,0,,0,,,,23,0,0,,,,,,0,,0,0,,,0,,,1,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,0,0,,0
NCL,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,0,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,,0,,0
GAB,0,0,,0,,,0,0,,,0,,0,,,,,0,,0,,,,99,0,0,,,,,,0,,0,0,,,0,,,1,,,,,0,,,,,,,0,0,,0,,,0,0,0,4,0,,,2,,0,,0
GMB,0,0,,0,,,0,0,,,0,,0,C,,,,0,,0,,,,0,0,0,,,,,,0,,0,0,,,0,,,28,,,,,0,,,,,,,0,,,0,,,0,0,0,0,0,,,0,30,0,,0
GEO,0,0,,0,,,3,0,,,0,,0,,,1,,0,,0,,,,0,0,0,5,,,,84,0,,0,1,,,0,,,155,,,,,0,,,,,,,0,,,3,,,0,0,0,0,0,,,C,0,0,,0
DEU,169,0,"5,071","59,149",93,46,"43,003","8,165",68,70,"8,569","2,154",264,"10,428",343,38,,247,"2,099","22,555",101,371,"13,810","188,203",,"2,347","10,358",54,78,67,"82,203",485,350,"95,825","154,751","16,253",308,229,233,44,"212,775",79,606,3,50,"159,834",104,277,"26,701",,38,51,663,"14,359",,545,"9,606",221,188,"64,288","16,198","82,965",400,404,,"117,333","186,611",12,,3
GHA,0,0,C,1,,,0,0,,,9,,0,,,,,0,,1,,,,33,4,0,12,,,,,0,,1,4,2,,0,,,203,,,,,0,,,,,,,0,,,0,,,0,0,0,13,0,,,14,"1,216",0,,0
GIB,0,0,,68,,,70,0,0,,0,,0,,,,,0,,0,,,,8,561,0,82,,,,40,0,,90,0,73,,0,,,"1,116",,,,,0,,,,,,,15,559,,0,,,0,277,0,130,0,,,C,31,0,,0
