,ARG,ABW,AUS,AUT,BHS,BHR,BRB,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LUX,MYS,MLT,MUS,MEX,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN
ARE,0,,35,306,,"2,341",,264,73,0,0,39,,997,"1,037",97,,,367,,91,114,2,0,466,983,,8,258,,0,0,,405,0,,71,496,36,0,66,"2,968",,226,"1,729",177,175,294,,274,,0,225,14,0,0,C,0,0,1,"1,111",25,3,C,2,"1,056",116,,,"4,996",,0,0
GBR,86,9,"24,488","19,041",658,"2,410","1,375","39,961","25,172",92,62,"37,209",959,"1,778","69,719",826,288,82,"12,015","1,390","20,767",121,151,"13,364","235,993","156,696",399,"62,357","27,381",205,769,38,477,"350,693","15,659","1,873","57,725","155,339","63,185","1,883","7,318","2,768",100,624,"166,945","1,178","1,053","1,524",414,"122,589",440,"1,277","64,772",4,77,735,712,"11,289",178,"1,318","50,923",282,"33,418","46,816","37,578","45,321",412,"1,162",27,,"647,361",60,829
USA,"14,949",233,"113,723","22,486","1,065","9,465","12,391","53,197","259,277","2,501",68,"264,434","30,823","22,903","72,525","1,146","8,256",342,"3,541","2,031","44,333",371,133,"11,387","187,269","167,278",347,"10,800","29,808","1,027",930,116,487,"464,772","1,762","23,387","106,892","762,424","85,783","18,526","25,472","5,076",369,"1,440","354,932","3,259",720,"1,296","17,799","296,574","3,834","8,081","113,696",0,"3,068","1,812","1,068","8,755",77,"2,673","76,597",823,"12,455","42,969","70,669","115,893","1,630",132,,"690,505",,"1,847","6,450"
URY,0,,C,96,11,,,6,1,126,0,19,,606,3,,,7,0,,287,0,0,C,36,246,,1,160,,,,,96,0,,68,595,10,0,295,,,0,547,,,,,349,,0,,,0,,0,0,0,0,,0,,C,0,15,,0,,139,"1,245",,5
PUQ,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,6,,0,,0,0,0,0,,0,,0,0,,,,,0,0,,0
VIR,0,,0,4,,,,,0,4,0,0,2,0,52,,,,0,,0,0,,,350,0,,,35,,,,,0,0,1,,848,4,0,8,,,0,1,,,,,0,,0,6,,0,,0,0,0,0,,,,0,8,,0,,,58,0,0,0
UZB,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,1,,,,0,1,0,,,,0,0,,0
VUT,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
VAT,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
VEN,0,,1,72,,,15,39,7,0,0,17,38,126,10,,1,2,132,0,450,0,,C,191,431,,28,125,0,,,,264,0,,339,353,452,0,0,,1,3,"1,445",,,,,989,790,0,19,,134,0,0,0,0,0,,1,,C,0,243,36,1,,638,"3,602",5,
VNM,0,,C,8,,,,11,1,0,0,5,,0,448,,,,49,0,25,0,,C,45,65,,,1,,,,,7,0,,2,22,,0,408,,1,,36,12,,141,,61,,0,1,,0,,0,0,0,0,957,,,0,0,16,5,,,698,199,0,0
VGB,0,13,C,347,,189,9,"1,552",177,365,0,"1,246",43,0,"5,966",228,0,0,23,45,126,0,6,739,"4,487",99,16,13,"2,911",0,6,,422,"1,678","1,155",38,641,915,"1,567",135,76,119,0,0,"6,417",14,,257,14,696,"2,308",0,115,,2,0,C,"1,520",0,"1,889",702,,694,908,742,,1,,,"5,100","8,876",1,0
WLF,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
PSE,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,14,0,,,0,,0,0,,,0,0,,,,,0,,0,,,0,,0,0,0,0,,,,0,0,0,,,,0,0,,0
ESH,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,0,0,,,,0,,,0,,,,,0,0,,,0,,0,0,,,,0,,,58,,0,,,,,0,,0,0,0,0,,,,0,0,,,,,0,0,,0
YEM,0,,0,0,,,,,0,0,0,0,,0,0,,,,0,,2,0,,,,0,,,18,,,,,0,0,,,0,,0,0,71,,3,0,,,,,0,,,,,0,,0,0,0,0,,,,0,0,0,,,,7,0,,0
ZMB,0,,C,0,,,,3,0,0,0,0,,0,1,,,,1,,1,0,,,11,0,,,0,,,,,14,0,,,0,3,0,0,,,,3,,,10,,1,,,,,0,,0,0,0,0,,,33,0,3,0,,,,71,39,,0
ZWE,0,,0,3,,,,0,0,0,0,0,,0,0,,,,0,,0,0,,,11,0,,0,1,,,,,0,0,,,0,,0,0,,,,1,,,16,,0,,0,,,0,,0,0,0,0,,,11,0,1,4,,,,0,76,,0
