,ALB,ARG,ABW,AUS,AUT,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
SYC,,0,,0,6,,0,0,0,,7,0,0,34,0,0,,9,0,,0,2,0,10,,0,,1,23,,,0,0,0,0,0,,14,0,,10,0,,0,0,,,0,0,76,0,,0,0,,,1,,0,,,,0,,C,0,,,0,C,0,0,,C,0,27,,0,,4,29,0,,
SLE,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,34,0,,,
SGP,,0,4,"3,548",268,11,0,332,"4,328",,35,3,"5,196","4,896",88,"18,450",534,"5,773",124,,16,6,1,"1,302",0,4,295,"1,588","3,898",4,3,411,0,2,3,14,"2,225","9,152",81,105,437,"18,184",293,116,"3,433",0,60,1,3,"16,582",0,"24,095",C,"3,615",,31,"8,283",C,"5,010",,,1,16,97,2,7,0,21,855,,18,19,888,134,"1,324","3,934","1,695",0,,"19,674","114,964",0,,2
SXM,,0,1,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,66,,,0,0,87,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,10,0,,,
SVK,,0,,C,"4,938",6,0,"3,162",14,,0,66,19,9,9,0,0,2,0,,0,11,"2,692",66,,17,C,"1,554","6,426",1,36,44,0,122,0,0,,605,0,2,790,101,172,0,40,,32,2,49,"1,611",0,,23,0,,,"1,389",,611,,,,0,,45,9,C,8,0,C,,181,,C,1,"1,209",0,0,,177,281,,,
SVN,,0,0,119,"1,264",7,0,696,63,,0,33,45,31,24,11,9,28,0,,0,6,116,108,,16,17,"1,892","6,197",1,4,8,0,75,0,0,,"1,490",0,2,"1,781",253,,0,50,,21,0,50,"1,268",2,,C,0,,,234,,581,,,38,0,,112,72,18,12,0,C,220,,,114,1,149,1,0,,"1,122","2,157",0,,
SLB,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
SOM,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
ZAF,4,0,3,"2,339",319,6,0,265,438,,7,0,"4,607",915,44,111,7,353,0,0,2,2,8,"2,013",,0,320,"1,256","4,159",38,5,502,0,10,1,4,3,"9,314",111,31,681,"6,569",119,3,685,,9,22,1,"16,290",0,4,C,837,5,0,"8,556",C,"4,790",4,,5,1,2,56,159,C,7,"1,491",C,0,16,,C,"1,488","2,532",83,0,,"14,491","78,935",5,,
SSD,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,1,,,,0,,0,0,,,0,,0,0,,C,1,0,,0,,0,0,,,
