,ALB,ARG,ABW,AUS,AUT,BGD,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LTU,LUX,MKD,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
GRL,,0,,0,0,,0,,29,,0,0,0,,0,0,,0,0,,0,0,0,47,,0,0,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,1,0,,C,0,,,0,,2,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,14,56,,,
GRD,,0,,0,0,,0,,0,,0,0,0,2,0,0,,0,0,,0,0,0,0,,0,,2,1,,,0,0,0,,0,,18,0,,0,0,,0,0,,,0,0,12,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,34,,,
GLP,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,,0,,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,,0,0,,,,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,22,0,,,
GUM,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,11,0,,0,0,,,0,,0,,,,0,,0,0,,,9,,0,0,,C,8,,,0,,0,,,,
GTM,,0,,C,13,,0,0,0,,0,0,32,18,45,0,,5,10,5,36,0,0,50,,0,4,1,188,,,10,1,0,,0,,75,0,,59,6,,0,1,,,0,0,354,0,0,0,0,,,83,,3,,,139,0,,0,0,,C,46,,0,0,,C,2,35,,0,,20,384,,,
GGY,,0,1,294,408,,0,403,991,,40,3,"2,027","2,785",42,998,25,0,1,,0,5,20,"2,366",,2,"1,629","3,126","5,448",43,13,,0,3,55,0,,"3,539","1,498",1,816,"3,168",181,0,377,13,20,5,2,"10,182",0,9,13,80,,,"5,182",,"1,969",1,,12,23,,C,67,2,164,0,C,146,1,"3,840",286,864,"13,636",2,0,,"12,826","42,026",6,,
GUF,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,,
GIN,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,2,0,,,
GNB,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
GUY,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,2,0,0,,0,,2,0,,0,0,,0,0,,,0,0,10,0,,0,0,,,2,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
HTI,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,1,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,0,0,,0,0,,,
HND,,0,,C,2,,0,0,5,,0,0,29,10,7,2,,2,0,1,40,0,0,45,,0,1,4,67,,,6,,0,,0,,35,0,,33,4,,0,0,,,0,0,325,0,0,0,0,9,,50,,133,,,3,19,,0,0,,,0,,0,0,,C,1,344,,0,,17,389,0,,
HUN,3,0,0,347,"1,005",,0,189,123,,2,365,"1,113","1,249",4,62,1,163,0,0,2,1,840,932,,12,125,"1,709","4,639",,1,44,0,,0,0,0,"2,283",0,2,568,957,80,0,131,,25,0,80,"6,531",0,12,5,0,,0,"2,357",,411,,,0,0,,809,8,98,6,345,"1,243",112,87,33,C,119,561,1,1,,"9,688","12,021",0,,
ISL,,0,,16,108,,0,100,0,,0,0,47,23,0,0,0,11,0,,0,0,0,450,,1,622,235,"1,012",2,,52,0,10,,0,,694,0,,269,82,1,0,11,,2,0,22,"2,396",0,,C,0,,,118,,275,,,0,0,,C,4,11,,0,C,21,27,,188,613,103,5,0,,"1,923","2,627",0,,
IND,,0,2,"4,865",268,69,0,348,927,,9,0,"13,059","6,437",107,"6,535",16,792,0,,27,63,40,"2,227",,0,384,"4,094","3,223",2,,887,0,0,1,,42,"11,310",378,7,331,"11,399",301,0,"1,956",100,11,2,0,"36,243",0,210,C,"83,525",1,0,"8,995",C,"9,504",,,2,0,287,C,22,C,2,781,"40,179",4,39,439,147,"1,820","2,794",233,1,,"26,759","133,009",1,,4
IDN,,0,1,"1,079",294,5,0,157,440,,0,51,"3,404","2,143",50,"3,107",6,"1,715",0,,109,2,20,"1,991",,10,474,805,"5,420",4,,103,0,2,0,43,,"7,709",602,,800,"9,196",653,0,"1,159",178,13,0,0,"24,036",0,"2,197",C,354,10,,"6,919",,"3,933",16,,,3,"1,974",35,67,,1,"1,684","17,667",11,11,17,113,600,"1,729",371,0,,"9,800","56,278",,,1
IRN,,0,,0,0,5,0,,0,,0,0,0,19,0,0,3,0,0,,0,40,0,0,,0,,38,0,,,0,0,0,,0,,0,0,,0,0,,0,82,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,C,0,12,,C,2,0,74,0,,0,0,,,
IRQ,,0,,C,4,,0,1,3,,0,0,41,134,0,0,,8,0,,0,0,0,77,,0,C,26,79,,,0,0,0,,0,,131,0,,34,7,,0,352,14,0,1,0,410,0,,0,5,,,47,,0,,,,0,,0,0,,,0,C,0,0,,C,2,29,,0,,18,605,,,
IRL,1,0,28,"6,688","14,498",24,0,"39,737","7,567",12,326,301,"15,025","18,427","6,720","11,872",707,"3,098",83,302,722,"1,801","1,169","19,011",6,920,"43,461","116,014","139,815",730,"2,399","6,775",0,250,"2,213",4,69,,"2,573","1,571","111,107","50,853","2,395","1,313","4,231",14,930,53,"1,153","151,022",1,235,872,197,337,0,"77,882","1,432","16,006",,,271,645,58,330,"9,433",99,"20,915",733,"7,428","1,709",685,"17,340","38,114","18,163","63,777","2,080",7,,"218,151","462,334",30,,1
IMN,,0,,C,145,,0,65,39,,26,2,4,53,4,5,1,10,0,,0,18,0,36,,2,15,156,226,4,3,234,0,0,1,0,,"1,473",,1,101,100,2,0,15,,2,0,0,"1,073",0,463,C,40,,,134,,400,,,3,0,,3,0,1,36,0,83,0,0,"1,582",C,84,123,,0,,"1,952","4,323",2,,
ISR,,0,0,C,249,,0,248,217,,40,0,"2,223","1,125",10,100,8,258,0,0,23,1,3,443,,2,65,891,"2,534",4,1,895,0,1,1,1,1,"1,567",1,,239,"1,790",91,11,253,,0,0,1,"4,264",0,1,3,1,3,,"1,388",,"3,187",,,19,2,C,21,10,0,3,0,950,26,13,5,158,403,"2,212",81,2,,"4,505","64,592",3,,
ITA,49,0,4,"3,344","17,518",133,0,"27,203",466,,65,173,"6,341","14,520",423,C,92,"1,079",0,0,6,352,215,"6,449",10,118,"5,927","245,844","159,755",36,"8,303","1,630",0,113,16,0,9,"109,956",516,345,,"48,888","2,361",146,"1,285",,525,3,53,"170,147",0,6,404,5,18,0,"39,369",C,"13,561",,,17,11,C,387,"16,366",59,7,"1,847",C,"1,663","1,334","1,129","98,270","5,005","8,853",41,0,,"63,398","91,862",4,,2
JAM,,0,19,C,12,,0,1,5,,0,0,47,105,0,0,,10,0,0,54,0,0,113,,0,C,7,118,,,46,0,0,,0,,134,0,,21,24,1,0,0,,,0,0,508,0,,C,0,,,128,,0,,,,0,,0,0,,,55,C,0,0,,C,4,33,,0,,135,881,,,
JPN,C,13,28,"33,009","1,532",74,0,"2,714","12,756",65,23,37,"60,727","68,261","4,202","49,964",735,"11,894",10,3,203,12,35,"9,417",17,3,"3,824","97,963","23,920",7,5,"1,312",0,7,71,4,14,"83,463",95,495,"5,450",,"1,186","4,452","14,752",0,22,4,9,"123,439",0,671,152,127,9,0,"42,854","3,551","75,313",15,,33,239,390,2,581,0,11,"12,363",C,40,60,636,"2,651","14,698","26,660","3,627",0,,"263,692","847,316",171,,3
JEY,,0,3,"2,349","1,275",,0,"1,307",651,,32,14,"3,001",409,62,"2,866",60,46,0,0,0,19,95,"2,216",,8,"1,403","9,415","12,479",108,20,"1,222",0,65,9,2,0,"9,978",103,3,"3,723","17,723",,68,"1,262",7,17,49,5,"32,390",0,22,63,64,,,"9,314",,"6,541",,,120,0,C,77,175,11,"1,550",0,319,12,5,"1,131","1,923","1,594","19,969",3,0,,"44,457","102,218",1,,
JOR,,0,,C,1,,0,0,12,,0,0,12,83,0,7,,9,0,,0,91,0,26,3,0,11,0,59,,,16,0,2,,0,0,70,0,,13,23,1,0,1,37,,120,0,219,0,0,0,0,,0,47,,308,,,,0,,0,0,,,28,C,0,0,,C,2,19,,0,,394,"3,714",,,914
KAZ,2,0,,C,143,,0,21,65,,0,0,152,265,18,4,,25,0,0,0,12,68,420,,0,32,58,"1,644",11,,71,0,36,0,0,,823,0,2,346,104,,,99,,43,17,1,"2,826",0,15,C,0,5,,649,,12,,,0,0,C,C,35,C,24,210,36,3,0,,C,27,332,1,1,,671,"4,278",,,
KEN,,0,,20,12,,0,1,46,,0,0,28,123,0,54,,10,0,,34,0,0,116,,0,79,13,202,,,41,0,0,,0,,432,0,,49,56,86,0,5,,0,0,0,"1,255",0,0,C,107,,,234,,343,,,,0,,0,0,,C,0,C,0,0,140,C,27,50,0,0,,265,"1,787",,,
KIR,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
PRK,,0,,C,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,1,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
KOR,C,0,3,"9,315",578,16,0,782,"4,586",56,927,1,"15,937","5,662",165,"14,878",446,"2,700",50,4,128,11,29,"2,021",,1,668,"8,304","7,836",12,,489,0,9,1,9,4,"17,674",739,123,549,"23,690",372,"2,391",,16,1,1,11,"35,720",0,869,28,81,31,3,"12,856",C,"18,326",,,10,81,238,C,82,0,18,"3,068","35,614",48,65,126,527,"3,583","9,800","1,242",0,,"36,215","177,375",0,,3
KWT,,0,,0,0,2,0,,10,,0,0,30,66,0,11,,1,0,,0,10,0,14,,0,8,5,1,,,53,0,0,,0,0,27,6,,0,3,12,0,2,,,16,0,497,0,184,0,0,,0,0,C,111,,,,0,C,0,0,,,108,C,0,0,,C,0,0,20,0,,93,641,,,7
KGZ,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,1,0,0,,0,0,,,0,0,66,0,,0,0,,,2,,0,1,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
LAO,,0,,0,0,,0,,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,,,0,,,9,0,0,,0,,0,0,,0,0,,0,85,,,0,0,7,0,,0,0,,,0,,0,,,,0,,0,0,,,0,C,0,0,,C,0,1,"1,546",0,,0,0,,,
LVA,C,0,,0,537,,0,259,0,,0,30,4,91,0,0,4,0,0,,0,1,16,21,,252,39,198,"1,473",1,9,0,0,4,,0,,24,0,1,181,7,20,0,0,,,0,335,273,0,,C,0,,0,197,,263,,,,0,,C,0,,5,0,C,56,56,,C,215,253,,0,0,172,495,1,,
LBN,,0,,C,23,,0,12,0,,0,0,30,430,0,5,,22,0,,0,53,0,234,12,0,C,23,184,,,43,0,0,,0,0,355,0,,213,46,23,0,4,45,,,0,"1,430",0,,0,0,,0,422,,0,,,,0,,0,0,,,133,,0,0,,C,19,177,,138,,"8,196","2,686",0,,
LSO,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,1,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
LBR,,0,,17,0,,0,30,-1,,0,0,182,0,1,0,2,37,0,,0,0,0,65,,0,21,42,69,,,0,0,0,,0,,252,1,,31,441,2,65,34,,0,0,0,545,0,0,C,0,,,132,,194,,,,0,,C,0,C,2,0,C,0,0,0,C,15,223,,0,,225,"11,209",0,,
LBY,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,1,0,,0,3,,,0,,0,,,,0,,0,44,,,0,,0,0,,C,0,0,,0,,6,0,,,
LIE,,0,,C,"1,913",,0,34,1,,15,1,0,695,186,32,,0,0,,0,3,17,2,,0,0,61,"1,399",,,8,0,8,,0,,16,1,,23,0,,0,11,,,1,0,"1,833",0,0,C,0,,,1,,28,,,6,0,C,0,0,C,1,0,C,0,7,,C,1,,11,0,,68,60,0,,
LTU,C,0,,C,584,,0,311,22,,0,46,41,25,0,6,7,5,0,,0,0,7,105,,345,C,289,"2,364",,7,0,0,8,0,0,,175,0,1,197,138,10,0,10,,679,0,,799,0,,C,0,,,381,,251,,,,0,,35,0,,C,31,12,149,42,,C,765,433,2,0,,214,"1,347",,,
LUX,16,387,5,"10,776","42,222",,0,"202,372","15,368",12,"1,377",612,"9,585","15,328","33,951","58,875","1,552","5,527","3,733",127,"2,091","1,813","4,845","31,987",10,"2,220","34,151","350,277","550,848",698,"55,570","14,861",0,"3,545","3,120",247,"2,154","110,891","3,579","7,880","550,096","98,616","13,046",280,"13,391",105,"2,807",234,"1,389",,0,"1,026",790,592,"1,159",5,"106,914",C,"22,169",1,,337,"2,291",242,"6,313","16,445",714,"24,191","1,336","22,432","2,624",882,"19,940","120,216","78,961","199,407","4,853",142,,"101,549","131,641",523,,
MKD,13,0,,C,43,,0,7,1,,0,0,0,14,0,0,,0,0,,0,0,0,61,,0,C,19,99,,2,0,0,0,,0,,20,0,,78,1,,0,0,,14,0,17,355,,,0,0,,,4,,0,,,,0,,15,0,6,2,0,C,7,30,,C,0,19,0,0,,67,385,,,
MDG,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,31,1,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,47,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,2,,0,,0,0,,,
MWI,,0,,0,0,,0,,5,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,1,,0,,,0,0,0,,0,,0,0,,0,0,4,0,0,,,0,0,2,0,,0,0,,,4,,0,,,,0,,0,0,,,0,,0,0,41,C,0,0,,0,,0,3,,,
MYS,,0,2,"1,165",168,14,0,116,"2,988",,0,0,"2,220","1,345",45,"4,729",426,265,0,,31,0,0,963,10,0,132,415,"2,307",1,,39,0,0,0,0,28,"4,871",51,2,148,"7,013",404,4,818,674,5,4,1,"11,077",0,,C,30,,0,"4,182",,"2,677",10,,,1,58,C,4,,1,"1,673","17,920",0,3,26,C,747,"1,721",449,12,,"7,951","29,795",1,,1
MDV,,0,,0,0,,0,,1,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,C,0,0,,C,0,0,0,0,,0,0,,,
MLI,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,0,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,2,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,0,0,,5,0,,,
MLT,,0,,12,216,,0,159,276,,29,0,25,15,12,C,,0,103,,"3,182",0,160,21,2,2,51,291,250,23,,233,0,14,,0,0,310,76,,178,23,678,0,2,0,13,8,0,889,0,,,0,,,64,,116,,,3,0,,18,27,,,0,C,1,5,"1,072",161,"1,104",434,0,0,,193,801,,,
MHL,,0,,4,1,,0,29,9,,1,0,54,27,5,6,0,0,0,,0,2,1,57,,1,129,65,76,,,5,0,0,0,0,,172,1,,20,135,1,0,362,,0,0,0,487,0,1,C,0,,,54,,221,,,0,0,,C,56,0,1,0,C,0,0,,C,118,39,0,0,,54,"13,291",,,
MTQ,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,,0,,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,,0,0,,,,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,,
MRT,,0,,0,0,,0,,0,,0,0,0,5,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,18,0,0,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,3,,0,,47,1,,,
MUS,,0,,81,5,,0,10,"2,286",,0,0,45,"1,479",0,62,13,27,0,,1,12,69,129,6,3,6,55,134,5,,351,0,0,,107,0,"1,934",291,,30,"1,912",74,0,11,0,1,0,0,"8,073",0,78,0,,,,364,,97,0,,,0,C,C,0,,2,0,C,0,0,"1,470",C,188,169,0,0,,"5,317","12,295",,,
MYT,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,,0,,0,,,0,,,0,0,0,,0,,0,0,,0,,,0,0,,,0,0,0,0,,0,0,,,,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,0,0,,,
MEX,,4,6,"2,994","1,136",16,0,"1,267","1,789",12,239,60,"8,393","5,930","3,771",346,118,693,267,16,261,18,73,"2,871",,10,449,"8,866","16,340",16,27,119,0,23,0,0,0,"12,045",651,683,"3,844","18,378",143,0,959,,36,8,12,"36,638",0,11,37,0,,,"9,342",,"9,300",,,264,748,89,63,218,C,64,"1,983",C,72,65,2,"5,576","1,218","6,590",498,1,,"22,572","144,698",87,2,4
FSM,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,1,,0,0,,0,0,,,0,0,0,0,,0,0,,,0,,0,,,,0,,0,0,,,0,,0,0,,C,0,0,,0,,0,0,,,
MDA,,0,,0,0,,0,,0,,0,0,0,,0,0,,0,0,,0,0,0,0,,0,,,0,,,0,0,0,,0,,0,0,,0,0,,0,0,,,0,0,22,0,,0,0,,,0,,0,,,,0,,0,0,C,,0,,0,0,,C,0,0,,0,,0,0,,,
MCO,,0,,0,0,,0,11,-3,,9,0,0,1,1,0,,10,0,,0,0,,0,,0,,,0,,,0,0,0,,0,,0,0,,13,0,,0,0,,,0,0,0,0,,0,1,,,,,0,,,,0,,0,0,,,0,,0,0,,C,0,,,0,,39,9,0,,
