,ARG,ABW,AUS,AUT,BHS,BHR,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,LBN,LUX,MYS,MLT,MUS,NLD,ANT,NZL,NOR,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
MDG,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,1,,,0,0,,,0,,,0,,,0,,,,,,0,0,,,0,3,0,,
MWI,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,0,0,,,0,0,,0,0,,,0,,1,,,,0,,,0,,,0,,,0,,,,,,0,0,,,1,19,0,,
MYS,0,0,56,44,,19,33,434,,,118,47,0,"2,421",11,,,0,0,74,,0,,212,325,,138,0,0,2,119,8,,219,"2,538",146,,452,0,987,,,,426,,0,11,,9,0,14,,0,"6,850",,,,58,132,0,,,"2,389","4,258",0,,
MDV,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,3,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
MLI,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,4,0,,
MLT,0,0,0,28,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,46,31,,,0,,6,,,,0,,,0,,,0,,,0,,,,,,5,0,,,C,93,0,,
MHL,0,0,0,1,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,1,,,0,0,,0,0,,2,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,0,1,0,,,0,66,0,,
MTQ,0,0,0,0,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,,0,,,0,,0,,
MRT,0,0,0,13,,,0,0,,,0,,0,0,,,,0,0,0,,0,,0,0,,,0,,,0,0,,0,0,,,0,,0,,,,0,,,0,,,0,,,0,,,,,,0,0,,,0,,0,,
MUS,0,0,0,0,,,0,31,,,0,,0,0,0,,,32,0,0,,0,,11,3,,145,0,,2,0,21,,0,10,19,,0,,10,0,,,0,,,0,,,0,,,5,67,,14,,,28,0,,,104,149,0,,
